timestamp,open,high,low,close,volume
2024-04-12 16:40:00,182.9100,182.9100,182.9100,182.9100,6
2024-04-12 16:30:00,183.2000,183.2000,183.2000,183.2000,10
2024-04-12 16:20:00,182.2700,182.7000,182.2700,182.2800,20086
2024-04-12 16:15:00,182.2700,182.7000,182.2700,182.7000,5
2024-04-12 16:10:00,182.2700,182.2700,182.2400,182.2700,557990
2024-04-12 16:05:00,182.2700,182.2700,182.2300,182.2700,158
2024-04-12 16:00:00,182.3000,182.4300,182.0000,182.2700,1278682
2024-04-12 15:55:00,182.0800,182.3400,181.9300,182.3400,326196
2024-04-12 15:50:00,182.4300,182.4900,181.9100,182.0500,150731
2024-04-12 15:45:00,182.1500,182.4200,182.1100,182.4200,99391
2024-04-12 15:40:00,181.9700,182.3400,181.9600,182.1500,76122
2024-04-12 15:35:00,182.3200,182.3200,181.9600,181.9600,38206
2024-04-12 15:30:00,182.2800,182.4500,182.2500,182.3200,51595
2024-04-12 15:25:00,182.2850,182.3500,182.1900,182.2800,33454
2024-04-12 15:20:00,182.2800,182.3900,182.2000,182.3000,32768
2024-04-12 15:15:00,182.1800,182.3200,182.0900,182.2800,22992
2024-04-12 15:10:00,182.2800,182.3300,182.1600,182.2000,24064
2024-04-12 15:05:00,182.4020,182.4400,182.1850,182.2500,14624
2024-04-12 15:00:00,182.1000,182.4100,182.0300,182.3800,27149
2024-04-12 14:55:00,182.4400,182.5500,182.1200,182.1430,18436
2024-04-12 14:50:00,181.8700,182.4900,181.8700,182.4100,24877
2024-04-12 14:45:00,181.8050,181.9400,181.6850,181.8980,28157
2024-04-12 14:40:00,181.7700,182.0000,181.7100,181.8200,46925
2024-04-12 14:35:00,181.9750,182.0400,181.7700,181.7700,32053
2024-04-12 14:30:00,182.1400,182.1500,181.9000,182.0000,44766
2024-04-12 14:25:00,182.1300,182.1600,182.0300,182.1250,29187
2024-04-12 14:20:00,182.3500,182.4500,182.1200,182.1200,25184
2024-04-12 14:15:00,182.3900,182.5690,182.3680,182.3800,18073
2024-04-12 14:10:00,182.6080,182.7000,182.3860,182.3860,20773
2024-04-12 14:05:00,182.3700,182.7400,182.3300,182.6300,52217
2024-04-12 14:00:00,182.3700,182.4600,182.3100,182.3800,20816
2024-04-12 13:55:00,182.5200,182.6500,182.4000,182.4000,18981
2024-04-12 13:50:00,182.7600,182.8100,182.4900,182.4900,17659
2024-04-12 13:45:00,182.4050,182.7800,182.3900,182.7400,17345
2024-04-12 13:40:00,182.2600,182.4920,182.2300,182.4100,24108
2024-04-12 13:35:00,182.2900,182.3000,182.1100,182.2900,24641
2024-04-12 13:30:00,182.3810,182.3900,182.2100,182.3100,27734
2024-04-12 13:25:00,182.5400,182.7000,182.3300,182.3800,22509
2024-04-12 13:20:00,182.7250,182.7250,182.4500,182.5400,36454
2024-04-12 13:15:00,182.7700,183.1100,182.7650,182.7700,25446
2024-04-12 13:10:00,182.8700,182.9800,182.7900,182.8500,73864
2024-04-12 13:05:00,183.3100,183.3400,182.8300,182.8600,20738
2024-04-12 13:00:00,183.1000,183.2800,183.0650,183.2800,25906
2024-04-12 12:55:00,183.2250,183.2600,183.0400,183.0700,41979
2024-04-12 12:50:00,183.3350,183.4000,183.2100,183.2300,19033
2024-04-12 12:45:00,183.3050,183.5000,183.3050,183.3350,20256
2024-04-12 12:40:00,183.4050,183.4800,183.2100,183.2800,25656
2024-04-12 12:35:00,183.6650,183.6900,183.2780,183.4200,29799
2024-04-12 12:30:00,183.9500,183.9600,183.5880,183.6900,20916
2024-04-12 12:25:00,184.1400,184.1900,183.8600,183.9300,40111
2024-04-12 12:20:00,183.8050,184.2250,183.7800,184.1350,24693
2024-04-12 12:15:00,184.0900,184.1700,183.7900,183.7950,43366
2024-04-12 12:10:00,184.4350,184.4350,184.1000,184.1000,21179
2024-04-12 12:05:00,184.4700,184.5600,184.4350,184.4350,18838
2024-04-12 12:00:00,184.4750,184.4900,184.2600,184.4200,14398
2024-04-12 11:55:00,184.5750,184.6150,184.4500,184.4950,14808
2024-04-12 11:50:00,184.7350,184.7350,184.4600,184.5800,22309
2024-04-12 11:45:00,184.5600,184.7600,184.5000,184.7200,16648
2024-04-12 11:40:00,184.8000,184.8050,184.4800,184.5400,27947
2024-04-12 11:35:00,184.9600,185.0100,184.6700,184.7800,24830
2024-04-12 11:30:00,184.8650,184.9100,184.7250,184.8800,24235
2024-04-12 11:25:00,184.6040,184.9000,184.5000,184.9000,21506
2024-04-12 11:20:00,185.0450,185.0600,184.5900,184.6200,32954
2024-04-12 11:15:00,184.5400,185.1700,184.5200,185.0200,40393
2024-04-12 11:10:00,184.4200,184.6300,184.3700,184.5600,59181
2024-04-12 11:05:00,184.4300,184.6200,184.3700,184.4400,26268
2024-04-12 11:00:00,183.9700,184.4800,183.8600,184.4400,26258
2024-04-12 10:55:00,184.0600,184.2800,183.9870,183.9900,28103
2024-04-12 10:50:00,184.2000,184.2700,183.9200,184.0700,21733
